Geneid	SRR5364316	SRR5364317	SRR5364318	SRR5364321	SRR5364323	SRR5364330
ENSMUSG00000000001	2279	2040	2084	1792	1962	2190
ENSMUSG00000000003	0	0	0	0	0	0
ENSMUSG00000000028	96	102	100	93	96	111
ENSMUSG00000000031	46	56	33	32	65	42
ENSMUSG00000000037	31	34	36	21	23	25
ENSMUSG00000000049	8	15	10	11	9	17
ENSMUSG00000000056	4198	4029	3674	3861	3767	4227
ENSMUSG00000000058	938	766	1006	655	849	895
ENSMUSG00000000078	1675	1445	1585	1508	1523	1744
ENSMUSG00000000085	1602	1528	1434	1492	1580	1891
ENSMUSG00000000088	3444	3220	3221	2772	3420	3723
ENSMUSG00000000093	34	45	51	62	50	67
ENSMUSG00000000094	8	11	6	9	4	7
ENSMUSG00000000103	0	0	0	0	0	0
ENSMUSG00000000120	155	117	128	223	204	258
ENSMUSG00000000125	556	521	563	702	583	808
ENSMUSG00000000126	58	37	49	32	44	76
ENSMUSG00000000127	1617	1496	1620	1273	1280	1333
ENSMUSG00000000131	3341	3282	3379	3894	3515	4188
ENSMUSG00000000134	1415	1235	1391	1425	1466	1770
ENSMUSG00000000142	802	684	776	847	763	935
ENSMUSG00000000148	667	703	680	774	751	862
ENSMUSG00000000149	2645	2668	2543	2051	2526	2477
ENSMUSG00000000154	19	15	19	30	25	45
ENSMUSG00000000157	10	7	7	9	17	25
ENSMUSG00000000159	8	10	25	13	17	24
ENSMUSG00000000167	71	42	60	59	59	86
ENSMUSG00000000168	4786	4199	4483	4390	4725	5715
ENSMUSG00000000171	3382	3528	3869	2865	3418	3881
ENSMUSG00000000182	18	28	28	34	34	50
ENSMUSG00000000183	0	0	0	0	0	0
ENSMUSG00000000184	404	387	445	195	379	357
ENSMUSG00000000194	2361	2083	2148	2107	2347	2562
ENSMUSG00000000197	4081	3772	4333	3989	4476	4210
ENSMUSG00000000202	988	932	870	930	958	1048
ENSMUSG00000000204	4	1	49	2	59	35
ENSMUSG00000000214	261	321	372	448	360	673
ENSMUSG00000000215	1	3	5	4	5	16
ENSMUSG00000000216	56	85	49	124	82	131
ENSMUSG00000000223	1373	1213	1102	1223	1350	1402
ENSMUSG00000000244	2	9	5	6	8	10
ENSMUSG00000000247	38	25	63	51	7	56
ENSMUSG00000000248	0	0	0	0	0	0
ENSMUSG00000000253	825	837	1074	793	891	1052
ENSMUSG00000000263	55	54	177	56	92	79
ENSMUSG00000000266	1835	1741	1896	1970	1909	2167
ENSMUSG00000000275	224	195	286	257	332	306
ENSMUSG00000000276	3660	3451	3433	3860	4012	4441
ENSMUSG00000000278	587	523	595	569	622	736
ENSMUSG00000000282	1234	1045	1140	1195	1000	1318
ENSMUSG00000000290	64	78	99	122	106	111
ENSMUSG00000000295	190	210	249	207	186	294
ENSMUSG00000000296	256	244	293	206	249	348
ENSMUSG00000000301	41	48	40	37	48	62
ENSMUSG00000000303	449	370	268	497	401	650
ENSMUSG00000000305	799	704	738	589	632	672
ENSMUSG00000000308	4816	4613	6340	4488	5505	5638
ENSMUSG00000000317	117	74	149	69	73	79
ENSMUSG00000000318	49	44	36	43	44	63
ENSMUSG00000000320	8	8	13	18	17	22
ENSMUSG00000000326	1959	1720	1498	1629	2164	2055
ENSMUSG00000000339	1443	1366	1505	1758	1517	2135
ENSMUSG00000000340	956	863	603	804	950	941
ENSMUSG00000000346	5591	5218	5725	5437	5752	7125
ENSMUSG00000000355	1795	1841	1991	1521	1823	1940
ENSMUSG00000000359	26	24	25	29	39	26
ENSMUSG00000000365	55	50	61	55	32	55
ENSMUSG00000000374	4123	3889	3960	4430	4183	5126
ENSMUSG00000000378	1219	1202	1284	814	1174	1130
ENSMUSG00000000381	0	0	0	0	0	0
ENSMUSG00000000384	1211	1168	1158	1266	1280	1507
ENSMUSG00000000385	12	15	28	18	27	31
ENSMUSG00000000386	4	11	14	9	10	11
ENSMUSG00000000392	83	99	108	67	106	128
ENSMUSG00000000394	0	0	0	1	0	0
ENSMUSG00000000399	2890	2751	3004	2537	2961	3172
ENSMUSG00000000402	12	12	26	7	13	24
ENSMUSG00000000409	5	7	8	13	2	11
ENSMUSG00000000411	0	2	2	2	2	6
ENSMUSG00000000416	2578	2517	2522	2479	2488	2506
ENSMUSG00000000420	2930	2878	2829	2549	2772	3196
ENSMUSG00000000435	0	0	0	0	0	0
ENSMUSG00000000439	942	940	905	921	953	1134
ENSMUSG00000000440	86	95	112	89	110	128
ENSMUSG00000000441	1771	1642	1696	1607	1752	1716
ENSMUSG00000000486	73	65	90	133	95	112
ENSMUSG00000000489	328	325	289	357	335	407
ENSMUSG00000000530	464	406	468	426	442	542
ENSMUSG00000000531	117	119	136	159	136	223
ENSMUSG00000000532	4070	3609	3682	3827	3900	4458
ENSMUSG00000000538	8322	7705	8914	9415	9638	11133
ENSMUSG00000000544	0	0	0	1	0	0
ENSMUSG00000000552	3469	3318	3323	4168	3912	4914
ENSMUSG00000000555	105	107	93	115	103	133
ENSMUSG00000000560	1228	1024	727	669	1330	887
ENSMUSG00000000561	1476	1413	1646	1515	1595	1745
ENSMUSG00000000562	10	9	10	12	9	11
ENSMUSG00000000563	9136	8929	10354	7655	8931	10285
ENSMUSG00000000567	1246	843	1045	1233	1077	1231
ENSMUSG00000000568	7414	6213	6047	7796	7635	8881
ENSMUSG00000000579	451	437	371	435	540	449
ENSMUSG00000000581	1625	1652	1971	1531	1727	1982
ENSMUSG00000000594	3017	2782	2830	2528	2944	3393
ENSMUSG00000000600	3716	3543	3577	2944	3321	3017
ENSMUSG00000000605	7515	7048	7447	6059	7511	7438
ENSMUSG00000000606	0	0	0	0	0	0
ENSMUSG00000000617	0	0	0	2	0	1
ENSMUSG00000000627	2096	1915	1724	2193	2245	2484
ENSMUSG00000000628	537	469	320	534	416	492
ENSMUSG00000000631	3713	3353	3440	4239	3805	4732
ENSMUSG00000000632	3111	2897	3211	3779	3656	4175
ENSMUSG00000000673	7	7	7	12	13	21
ENSMUSG00000000682	31	34	51	28	32	34
ENSMUSG00000000686	30	23	19	45	38	47
ENSMUSG00000000690	3	1	0	0	1	0
ENSMUSG00000000693	122	107	118	127	114	130
ENSMUSG00000000701	0	0	0	0	0	0
ENSMUSG00000000706	19	10	18	34	23	38
ENSMUSG00000000708	5278	4820	4927	6467	5673	7722
ENSMUSG00000000711	5758	5014	5172	5417	5909	6728
ENSMUSG00000000724	0	1	0	1	2	0
ENSMUSG00000000730	1	2	2	4	3	0
ENSMUSG00000000731	0	4	1	15	2	24
ENSMUSG00000000732	449	391	447	845	554	986
ENSMUSG00000000738	2050	2049	2074	2475	2191	2779
ENSMUSG00000000739	9	9	4	12	5	10
ENSMUSG00000000740	5551	5322	6337	5090	5700	6920
ENSMUSG00000000743	1866	1851	2018	1753	1903	2220
ENSMUSG00000000751	3378	3080	3150	3234	3375	4070
ENSMUSG00000000753	450	411	448	354	475	454
ENSMUSG00000000759	1852	1855	2113	1880	2107	2072
ENSMUSG00000000766	27	15	25	17	9	23
ENSMUSG00000000776	583	576	631	570	617	651
ENSMUSG00000000782	117	114	99	101	100	130
ENSMUSG00000000787	24323	23076	26117	23636	22864	28237
ENSMUSG00000000791	82	64	49	206	77	249
ENSMUSG00000000792	137	140	267	267	191	385
ENSMUSG00000000794	489	431	444	417	431	564
ENSMUSG00000000804	5146	4833	4937	4698	5276	5619
ENSMUSG00000000805	5569	5430	5261	3369	5655	3313
ENSMUSG00000000811	173	155	192	253	206	315
ENSMUSG00000000817	2	12	8	5	4	6
ENSMUSG00000000823	1432	1331	1510	2319	1790	2383
ENSMUSG00000000826	14519	13330	13336	14326	14593	17002
ENSMUSG00000000827	2306	2279	2509	2070	2383	2405
ENSMUSG00000000838	4994	4488	4251	4345	4578	4986
ENSMUSG00000000861	516	507	533	490	496	578
ENSMUSG00000000869	6	1	3	6	4	7
ENSMUSG00000000876	467	408	369	335	452	391
ENSMUSG00000000881	3748	3360	3439	3545	3730	4099
ENSMUSG00000000884	61	74	92	106	93	134
ENSMUSG00000000889	29	59	164	21	98	286
ENSMUSG00000000901	32	22	44	66	71	69
ENSMUSG00000000902	1542	1560	1483	1772	1643	1926
ENSMUSG00000000903	1	0	2	3	1	1
ENSMUSG00000000915	2411	2315	2554	2691	2556	3165
ENSMUSG00000000916	426	421	481	482	502	490
ENSMUSG00000000934	326	295	293	261	328	304
ENSMUSG00000000938	0	0	0	0	0	0
ENSMUSG00000000942	0	6	10	2	22	0
ENSMUSG00000000948	785	685	483	567	455	467
ENSMUSG00000000957	474	450	549	759	749	988
ENSMUSG00000000958	23	16	26	19	18	16
ENSMUSG00000000959	1898	1699	1761	1762	1816	2160
ENSMUSG00000000976	1162	1026	1020	1184	1217	1296
ENSMUSG00000000982	1	1	1	0	4	0
ENSMUSG00000000983	13	16	13	2	3	2
