"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000127",1434.02114802964,-0.384164875897905,0.0879241662089259,-4.36927516588614,1.24659610198824e-05,0.000936045399048001
"ENSMUSG00000000305",686.71853005036,-0.345562562054289,0.10065762400128,-3.43304906590976,0.000596834079776483,0.0125129605040469
"ENSMUSG00000000378",1132.37022642603,-0.356219258756664,0.120179424406299,-2.96406194751249,0.00303607161517735,0.0363922930244008
"ENSMUSG00000000600",3347.7432504871,-0.321337477052985,0.0933991055039916,-3.44047702939995,0.000580689725853423,0.0123433972334257
"ENSMUSG00000001039",563.591409431074,-0.396670453245635,0.127639132598755,-3.10774952139955,0.00188517770082992,0.0267244911716887
"ENSMUSG00000001323",1972.16776818894,-0.515786869773555,0.133104789663677,-3.87504364851799,0.000106605589035337,0.0039848514585687
"ENSMUSG00000001467",2129.1392638405,-0.837297640364773,0.128011029516654,-6.54082420496309,6.11807137554315e-11,1.30353158245166e-07
"ENSMUSG00000001700",730.965528899367,-0.497722688739072,0.115474121019671,-4.31025310557925,1.63067798015626e-05,0.00110544919307906
"ENSMUSG00000001774",3814.46322787946,-0.51200078861029,0.133859925926521,-3.82489968574568,0.000130825344648143,0.0045415845204228
"ENSMUSG00000001833",17255.1352339499,-0.289438852367096,0.0790399014784129,-3.66193336470879,0.000250318977533584,0.00688175318074184
"ENSMUSG00000002274",6156.97829809618,-0.539454921930426,0.114149301560321,-4.72587142064429,2.29130605852291e-06,0.000289298605685356
"ENSMUSG00000002308",406.611628720104,-0.447749255793959,0.129783924517995,-3.44995928776893,0.000560671101065886,0.0119907640121305
"ENSMUSG00000002416",1803.70307512198,-0.440190108447629,0.110442548106117,-3.98569315898686,6.72834157877257e-05,0.00298330249603289
"ENSMUSG00000002580",576.269704270304,-0.405500364159682,0.134798838359576,-3.00818886196933,0.00262809757904557,0.0331508785597234
"ENSMUSG00000002997",794.861005740441,-0.407839234502917,0.134090838972636,-3.0415145257324,0.00235391207397248,0.0308159994630269
"ENSMUSG00000003226",9234.02822051785,-0.261821586688016,0.0697789668534779,-3.75215625129259,0.000175320132864553,0.00537469723862646
"ENSMUSG00000003518",3685.68319782525,-0.341054404701579,0.101745595120008,-3.35203115475721,0.000802209906823568,0.0152778411863773
"ENSMUSG00000003545",77.2388286265319,-1.60424357521666,0.287997032295536,-5.57034759153499,2.54231623388109e-08,1.14479590303893e-05
"ENSMUSG00000003623",1571.8551618318,-0.257108315127807,0.0815594133559776,-3.15240515531446,0.00161931417631277,0.023912928750604
"ENSMUSG00000003662",878.438703235674,-0.308278361443341,0.108508358199307,-2.84105636247024,0.00449643647328218,0.0473216931484335
"ENSMUSG00000003974",871.474907073621,-0.472460219504597,0.1180232788237,-4.0031104390037,6.25151012146452e-05,0.00287215606523889
"ENSMUSG00000004110",8648.79439422895,-0.813144198506885,0.151664610599562,-5.36146300242591,8.25506314292374e-08,2.93140731814865e-05
"ENSMUSG00000004317",1296.56708299631,-0.2836575090555,0.0894690502741456,-3.17045400824457,0.00152200924769124,0.0230601312239086
"ENSMUSG00000004891",440.944532316063,-0.743415092052412,0.132597490352473,-5.60655477020156,2.06393683133245e-08,1.03873301072742e-05
"ENSMUSG00000004931",688.436363435225,-0.415291545361171,0.130284806878462,-3.18756695666426,0.00143475235061974,0.0221115314794878
"ENSMUSG00000004980",22850.7077106186,-0.295689505839823,0.0966503991571439,-3.05937180206634,0.00221801693027465,0.0297451601703631
"ENSMUSG00000005161",5230.06664710448,-0.292014351956462,0.0911863728907093,-3.20239025524629,0.00136292220443066,0.0215301287993703
"ENSMUSG00000005225",1253.61229587866,-0.48703887837827,0.104017412131469,-4.68228221023893,2.83698537453498e-06,0.000328955208904413
"ENSMUSG00000005397",1010.6236077181,-0.887966204261871,0.311121428931988,-2.85408243112686,0.00431613305675717,0.0460378522856233
"ENSMUSG00000005483",1399.10523170909,-0.399337319095965,0.0930058293467711,-4.29368053487316,1.75735290356994e-05,0.0011565281946467
"ENSMUSG00000005615",2191.18434040274,-0.312457918522207,0.0808558565449138,-3.86438202344245,0.000111370802094836,0.00409119681402257
"ENSMUSG00000005813",1632.94435789812,-0.322476169800099,0.0875609740432949,-3.68287554271209,0.000230617767335335,0.00650940450298417
"ENSMUSG00000005936",2609.81169746128,-0.273494448600861,0.0963214699969068,-2.83939238686499,0.00451995379336273,0.0474985279949862
"ENSMUSG00000005973",362.204063045876,-0.449033577127495,0.149287337979617,-3.00784770633933,0.00263104951276471,0.0331508785597234
"ENSMUSG00000006154",521.909820524512,-0.602384238593703,0.14282739260543,-4.21756798612036,2.46951375273706e-05,0.00147694252334748
"ENSMUSG00000006456",1009.33373154848,-0.317428304469606,0.105494442807644,-3.00895759076521,0.00262145705652968,0.0330983226137395
"ENSMUSG00000006705",945.462160109798,-0.382545059849214,0.104766518338681,-3.65140567726562,0.000260808886549343,0.00707880170578591
"ENSMUSG00000006782",13352.8056057051,-0.562834022109666,0.111886409620223,-5.03040560529289,4.8944331040047e-07,0.000106955913150974
"ENSMUSG00000007021",2131.24469362526,-0.320720143065454,0.106446079127839,-3.01298221309099,0.00258694079473922,0.0329062730196492
"ENSMUSG00000007039",800.354255775747,-0.345568075906374,0.106857118875325,-3.23392656982978,0.00122100844507165,0.0201056615835096
"ENSMUSG00000007207",125.992793943346,-0.722596731243972,0.248415803298898,-2.90881949396163,0.0036279626390982,0.0415024316667308
"ENSMUSG00000007617",2311.04514129194,-0.487115713290263,0.102156203998032,-4.76834195307068,1.85748308615513e-06,0.000250019007215827
"ENSMUSG00000007655",486.390813241161,-0.493420915353433,0.128203407381329,-3.84873479911341,0.000118729460236858,0.00428759247825686
"ENSMUSG00000007656",2518.73239056465,-0.333408680726206,0.10146326562013,-3.28600384275487,0.00101619623619781,0.017930708950302
"ENSMUSG00000007739",3811.00773049378,-0.269801565440716,0.0936352345048171,-2.8814106876278,0.00395899417080216,0.0435924132049889
"ENSMUSG00000007812",2128.84462171042,-0.284774396020627,0.0851712635677799,-3.34355020803468,0.000827137251483383,0.0156135391708962
"ENSMUSG00000007827",1492.47505871953,-0.270859645984188,0.0823478464465889,-3.28921347275145,0.00100467792026918,0.0178382657822794
"ENSMUSG00000007987",1092.57405179791,-0.415804263415013,0.138149860524837,-3.00980588641461,0.00261414701552731,0.0330304936098317
"ENSMUSG00000008450",931.617527472512,-0.29977482321216,0.0989964960906863,-3.02813569217187,0.00246067570220591,0.031870985823784
"ENSMUSG00000009013",2012.35192425142,-0.625404913407563,0.134125852621583,-4.66282153055201,3.11903229142892e-06,0.00034784183180113
"ENSMUSG00000009030",2118.38592473253,-0.290940776971005,0.100957753299757,-2.88180716648046,0.00395401632914175,0.0435924132049889
"ENSMUSG00000009575",8453.93584663784,-0.236480026391183,0.0709930071621696,-3.33103267271086,0.000865244462046055,0.0161005369602347
"ENSMUSG00000010554",1517.85204517719,-0.494483546900303,0.13980960261872,-3.53683536494147,0.000404952012206321,0.00959438740704834
"ENSMUSG00000010663",5453.24624244495,-0.368448601594893,0.0949831348079101,-3.87909498186207,0.00010484581337942,0.00393633676002692
"ENSMUSG00000010803",35301.5467882789,-0.218937005163796,0.0656958779500306,-3.33258359573675,0.000860436167431245,0.0160636741225253
"ENSMUSG00000012296",786.818951013386,-0.492864623242447,0.144243735168433,-3.41688755263394,0.000633414364789186,0.0130235800335726
"ENSMUSG00000012422",3075.54201245682,-0.280448250870997,0.0877488357243146,-3.19603386821105,0.00139330755809431,0.0217680360474037
"ENSMUSG00000012640",1749.00207412253,-0.278430469227795,0.0838526238894632,-3.32047414037788,0.000898646839636826,0.0166293976985335
"ENSMUSG00000013089",2768.71057309583,-0.612126574965445,0.123975900741472,-4.93746422735751,7.91449182215151e-07,0.000134902513108572
"ENSMUSG00000013523",4619.3382726634,-0.595498577616523,0.136441435966097,-4.36449948946956,1.27414147132463e-05,0.000944249625162098
"ENSMUSG00000014226",2705.85872518139,-0.368335510285714,0.106277115984127,-3.46580265069225,0.00052865116246552,0.0115717924158152
"ENSMUSG00000014932",1410.36405865224,-0.29499698514997,0.0917442218174229,-3.21542849572623,0.00130249939323122,0.0207880912936416
"ENSMUSG00000015149",4732.20134586244,-0.262872456467584,0.086491039501599,-3.03930277613006,0.00237126406231947,0.03101933687048
"ENSMUSG00000015222",26539.5037794944,-0.232580282639172,0.0741358815001691,-3.13721612170541,0.00170560351893007,0.024890421215893
"ENSMUSG00000015247",197.002665461363,-0.495820305358133,0.15946590408657,-3.10925591397247,0.00187559185190663,0.0266482882957478
"ENSMUSG00000015341",3981.79111707622,-0.36837859331617,0.0969603357932684,-3.79927101430011,0.000145122328181904,0.00473871663574819
"ENSMUSG00000015467",55.5696163348815,-1.10796598662424,0.281187136111327,-3.94031534282414,8.13745690603728e-05,0.00333420560008186
"ENSMUSG00000015656",51718.6741756053,-0.471908226841498,0.128898912381443,-3.66107221638154,0.000251161946150897,0.00688272567868494
"ENSMUSG00000015806",3060.85127023095,-0.571548095423572,0.142671041656565,-4.00605538998861,6.17411764597523e-05,0.00285391387184068
"ENSMUSG00000016150",5991.65657287543,-0.290495324900674,0.098316915164101,-2.954683071736,0.00312990394244209,0.0371512623251569
"ENSMUSG00000016252",1744.38579387027,-0.40706995804138,0.114185839052879,-3.56497759632756,0.000363887270132851,0.00896309034597464
"ENSMUSG00000016427",1074.68101639963,-0.377503113485443,0.107230880018341,-3.52047016140196,0.00043078245870608,0.00994622126894775
"ENSMUSG00000016984",849.233369005098,-0.287119861734421,0.0992955983741212,-2.89156686132879,0.00383326018124592,0.0427668260534202
"ENSMUSG00000017188",1238.79258978165,-0.366811915898982,0.126060600811609,-2.90980618478221,0.00361652951128133,0.041399426138207
"ENSMUSG00000017291",8739.4430212203,-0.271322933662452,0.0742165244447616,-3.65582915250087,0.000256352048635512,0.00699038836075984
"ENSMUSG00000017418",1749.67783564727,-0.418232674765022,0.114822259934348,-3.64243549120313,0.000270070670752252,0.00727228212159894
"ENSMUSG00000017485",8419.60361467541,-0.256975540429268,0.0855316013725128,-3.00445141100623,0.0026606025178651,0.0333455661154489
"ENSMUSG00000017724",298.559875035182,-0.493929818027193,0.174381117100121,-2.83247306956753,0.00461894567707069,0.0480353441523307
"ENSMUSG00000017776",7216.37555166137,-0.271248952846658,0.0770550521740634,-3.52019686176995,0.000431226607084329,0.00994622126894775
"ENSMUSG00000017801",624.993103984074,-0.368294465577475,0.126819098666045,-2.9040930699824,0.00368318653109699,0.0418184273563477
"ENSMUSG00000017978",10721.8802732692,-0.29281164718715,0.102141198930212,-2.86673399425448,0.00414731441265062,0.0448533413451091
"ENSMUSG00000018102",711.228803154139,-0.41806452650486,0.148124664756532,-2.82238293799361,0.00476682209528202,0.0489755772236781
