Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR5364316_1 - illumina_universal_adapter	(1, 0.0)	(2, 6.593480353439558e-06)	(3, 1.0989133922399264e-05)	(4, 5.714349639647617e-05)	(5, 7.033045710335529e-05)	(6, 9.670437851711351e-05)	(7, 0.00010329785887055308)	(8, 0.00010989133922399264)	(9, 0.00011868264636191205)	(10, 0.00013516634724551095)	(12, 0.00016923266240494866)	(14, 0.0002032989775643864)	(16, 0.00023187072576262446)	(18, 0.0002714316078832618)	(20, 0.0003120914033961391)	(22, 0.0003626414194391757)	(24, 0.00040659795512877275)	(26, 0.0004692360184864486)	(28, 0.0005384675621975639)	(30, 0.0006439632478525968)	(32, 0.0008241850441799447)	(34, 0.0011077046993778457)	(36, 0.0015758418044720544)	(38, 0.0022593659344452887)	(40, 0.003236299940146583)	(42, 0.004580271018856013)	(44, 0.006215454146509023)	(46, 0.008274817843566646)	(48, 0.011133091576782694)	(50, 0.01463642747124358)	(52, 0.019291424600771906)	(54, 0.024967312271691126)	(56, 0.03210475475428945)	(58, 0.04067188356019191)	(60, 0.051384091307746724)	(62, 0.06492600104031933)	(64, 0.08165366069699549)	(66, 0.10289345874220879)	(68, 0.12883660610620898)	(70, 0.16020838562787437)	(72, 0.19955497963702495)	(74, 0.24947971395987706)	(76, 0.3116045847633768)	(78, 0.3873394979297681)	(80, 0.47821523981444103)	(82, 0.5884219671820066)	(84, 0.72519382689358)	(86, 0.8918077786848209)	(88, 1.0902583503626446)
SRR5364316_2 - illumina_universal_adapter	(1, 0.0)	(2, 2.1978267844798528e-06)	(3, 8.791307137919411e-06)	(4, 4.17587089051172e-05)	(5, 5.494566961199632e-05)	(6, 8.35174178102344e-05)	(7, 9.011089816367396e-05)	(8, 9.230872494815382e-05)	(9, 9.670437851711351e-05)	(10, 0.00011648481957743218)	(12, 0.0001505511347368699)	(14, 0.00019340875703422703)	(16, 0.00023626637933158416)	(18, 0.0002692337810987819)	(20, 0.00031428923018061896)	(22, 0.0003670370730081354)	(24, 0.00042198274262013173)	(26, 0.00048791754615452735)	(28, 0.000568138223788042)	(30, 0.000687919783542194)	(32, 0.0008615480995161023)	(34, 0.0011461666681062432)	(36, 0.0016318863874762906)	(38, 0.002325300737979684)	(40, 0.0033154217043878578)	(42, 0.004672579743804167)	(44, 0.006325345485733016)	(46, 0.008370423308691519)	(48, 0.011263862270459245)	(50, 0.014788077519372689)	(52, 0.019485932271198374)	(54, 0.02523984279296663)	(56, 0.03238387875591839)	(58, 0.04087628145114854)	(60, 0.05150607069428535)	(62, 0.06493589126084949)	(64, 0.08156245088543958)	(66, 0.10253850971651529)	(68, 0.12824758852796836)	(70, 0.15973585286921121)	(72, 0.19911651319352122)	(74, 0.24918740299754122)	(76, 0.31138260425814435)	(78, 0.3870636706683158)	(80, 0.4779745777815405)	(82, 0.5881252605661017)	(84, 0.7245883256144559)	(86, 0.8908363392460807)	(88, 1.0889956988749612)
SRR5364317_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 6.999273382099293e-06)	(4, 6.0660369311527206e-05)	(5, 7.232582494835936e-05)	(6, 8.165818945782509e-05)	(7, 8.399128058519152e-05)	(8, 8.632437171255795e-05)	(9, 8.865746283992437e-05)	(10, 0.00010265600960412296)	(12, 0.00012365382975042084)	(14, 0.00014815128658776837)	(16, 0.00016098328778828372)	(18, 0.00017148219786143268)	(20, 0.0002029789280808795)	(22, 0.00022514329379086059)	(24, 0.0002694720252108228)	(26, 0.000313800756630785)	(28, 0.000373294580378629)	(30, 0.00044445385976330513)	(32, 0.000584439327405291)	(34, 0.0008375797147245487)	(36, 0.0011665455636832155)	(38, 0.0016576612459938494)	(40, 0.0023622547664585115)	(42, 0.003309489764169282)	(44, 0.004530862969345609)	(46, 0.006046205656570106)	(48, 0.008129656033308329)	(50, 0.010745051187086099)	(52, 0.014045208586745914)	(54, 0.018003297684323065)	(56, 0.022896956323974156)	(58, 0.02917997072997195)	(60, 0.03713347838316411)	(62, 0.04682047274398954)	(64, 0.05914852626099376)	(66, 0.074485100786737)	(68, 0.09309383561861165)	(70, 0.11596279484905742)	(72, 0.14447550151660254)	(74, 0.18046459870179343)	(76, 0.2252261185258821)	(78, 0.27998843346742697)	(80, 0.3465328586021723)	(82, 0.4280743935036291)	(84, 0.5296466822790904)	(86, 0.6547236976172046)	(88, 0.8034640897146331)
SRR5364317_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 4.666182254732862e-06)	(4, 4.432873141996219e-05)	(5, 5.3661095929427914e-05)	(6, 6.76596426936265e-05)	(7, 7.232582494835936e-05)	(8, 7.699200720309222e-05)	(9, 8.165818945782509e-05)	(10, 8.749091727624116e-05)	(12, 0.00011198837411358869)	(14, 0.00015281746884250125)	(16, 0.00016798256117038304)	(18, 0.00018198110793458163)	(20, 0.0002181440204087613)	(22, 0.00025197384175557454)	(24, 0.00030446839212131926)	(26, 0.00034646403241391497)	(28, 0.00041645676623490793)	(30, 0.0005004480468200995)	(32, 0.0006392669688984021)	(34, 0.0008947404473450262)	(36, 0.0012470372075773573)	(38, 0.0017439856177064073)	(40, 0.0024579115026805353)	(42, 0.0034086461370823554)	(44, 0.004649850616841297)	(46, 0.006159360576247378)	(48, 0.008250976771931384)	(50, 0.010882703563600717)	(52, 0.01423185587693523)	(54, 0.018240106433750757)	(56, 0.02315942907580288)	(58, 0.02941211329714491)	(60, 0.03733879040237236)	(62, 0.04693946039148522)	(64, 0.05922435172263316)	(66, 0.07444777132869912)	(68, 0.09298534688118912)	(70, 0.11588930247854536)	(72, 0.14447083533434782)	(74, 0.18058825253154387)	(76, 0.22544309600072718)	(78, 0.2802509062192557)	(80, 0.3466938418899606)	(82, 0.4282015469700705)	(84, 0.5296081862754888)	(86, 0.6546128757886548)	(88, 0.8031701202325849)
SRR5364318_1 - illumina_universal_adapter	(1, 0.0)	(2, 2.277193314606758e-06)	(3, 1.138596657303379e-05)	(4, 2.9603513089887856e-05)	(5, 3.188070640449461e-05)	(6, 4.782105960674192e-05)	(7, 5.46526395505622e-05)	(8, 5.692983286516895e-05)	(9, 6.603860612359598e-05)	(10, 8.881053926966358e-05)	(12, 0.00011158247241573114)	(14, 0.0001309386155898886)	(16, 0.00015143335542134941)	(18, 0.0001696509019382035)	(20, 0.00019697722171348458)	(22, 0.00022885792811797918)	(24, 0.00027440179441011437)	(26, 0.00034499478716292387)	(28, 0.0003985088300561827)	(30, 0.0004918737559550598)	(32, 0.000621673774887645)	(34, 0.0008311755598314667)	(36, 0.0011773089436516939)	(38, 0.0016828458594943944)	(40, 0.002323875777556197)	(42, 0.003275742583061822)	(44, 0.004517951536179808)	(46, 0.006090353519915775)	(48, 0.008129580133146127)	(50, 0.010795034907893337)	(52, 0.014021817834691114)	(54, 0.018284723719634965)	(56, 0.02325355953210691)	(58, 0.029400842884887854)	(60, 0.03708523172502836)	(62, 0.046936370004017194)	(64, 0.05899410860485998)	(66, 0.07415793888682638)	(68, 0.09231400118418606)	(70, 0.11490945184837162)	(72, 0.14326164721188306)	(74, 0.17937565598823163)	(76, 0.22381849931275444)	(78, 0.27748852994806383)	(80, 0.3424910131135137)	(82, 0.4227017318305649)	(84, 0.5237430763929813)	(86, 0.6468470083839655)	(88, 0.7933183595727866)
SRR5364318_2 - illumina_universal_adapter	(1, 2.277193314606758e-06)	(2, 4.554386629213516e-06)	(3, 1.138596657303379e-05)	(4, 3.415789971910137e-05)	(5, 3.415789971910137e-05)	(6, 5.692983286516895e-05)	(7, 6.603860612359598e-05)	(8, 6.831579943820274e-05)	(9, 7.287018606741626e-05)	(10, 8.425615264045006e-05)	(12, 0.00011385966573033792)	(14, 0.0001525719520786528)	(16, 0.00018445265848314742)	(18, 0.00019925441502809135)	(20, 0.00023113512143258598)	(22, 0.00027440179441011437)	(24, 0.00033588601390449683)	(26, 0.00039395444342696915)	(28, 0.00045999304955056516)	(30, 0.0005749913119382065)	(32, 0.0007161772974438255)	(34, 0.0009268176790449506)	(36, 0.001279782642808998)	(38, 0.0017739335920786646)	(40, 0.0024195178967696806)	(42, 0.0033508899624438444)	(44, 0.004601069092162955)	(46, 0.0061598079160112805)	(48, 0.00823205383230343)	(50, 0.010913448960252889)	(52, 0.014134538903764149)	(54, 0.018409969351938338)	(56, 0.02339474551761253)	(58, 0.02946574289435415)	(60, 0.03706359838853959)	(62, 0.04678265945528124)	(64, 0.058711736633848745)	(66, 0.0737229949637365)	(68, 0.09180277128505684)	(70, 0.11448817108516937)	(72, 0.14285972259185498)	(74, 0.17906823489075974)	(76, 0.22353385014842858)	(78, 0.2771742772706481)	(80, 0.342165374469525)	(82, 0.4222861440506491)	(84, 0.5229790780359308)	(86, 0.6456867783901732)	(88, 0.7920260523667474)
SRR5364321_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 1.159800031917697e-05)	(4, 8.350560229807417e-05)	(5, 0.0001090212030002635)	(6, 0.00012525840344711128)	(7, 0.0001438152039577944)	(8, 0.00015773280434080677)	(9, 0.00017165040472381913)	(10, 0.00019948560548984387)	(12, 0.0002215218060962801)	(14, 0.00025515600702189336)	(16, 0.00028183140775600037)	(18, 0.0003305430090965436)	(20, 0.0003734556102774984)	(22, 0.0004105692112988647)	(24, 0.00044768281232023097)	(26, 0.0005114718140757043)	(28, 0.0005961372164056962)	(30, 0.0006981996192144535)	(32, 0.0008860872243851204)	(34, 0.001166758832109203)	(36, 0.0015552918428016315)	(38, 0.0020667636568773356)	(40, 0.002842669878230275)	(42, 0.003967675909190441)	(44, 0.005346678147140583)	(46, 0.007116532995846988)	(48, 0.009353787257416226)	(50, 0.012354189939987308)	(52, 0.016168772244964612)	(54, 0.021212742583774674)	(56, 0.027546410558077217)	(58, 0.03547944277639427)	(60, 0.045298309846609486)	(62, 0.057712809388256514)	(64, 0.07356031702437993)	(66, 0.09335694376918309)	(68, 0.11779972944184855)	(70, 0.1480357162739429)	(72, 0.18582316111385339)	(74, 0.23435847284954517)	(76, 0.29458108950687156)	(78, 0.36846383094012464)	(80, 0.45857217481990625)	(82, 0.567800982025883)	(84, 0.7027471951396027)	(86, 0.8678679256837253)	(88, 1.0663792991467584)
SRR5364321_2 - illumina_universal_adapter	(1, 2.3196000638353936e-06)	(2, 6.9588001915061815e-06)	(3, 1.6237200446847757e-05)	(4, 6.726840185122641e-05)	(5, 9.046440248958035e-05)	(6, 0.0001113408030640989)	(7, 0.00012989760357478205)	(8, 0.00013685640376628823)	(9, 0.0001461348040216298)	(10, 0.00016701120459614835)	(12, 0.00020064540552176157)	(14, 0.00024703740679846945)	(16, 0.00027835200766024727)	(18, 0.00032242440887311974)	(20, 0.0003699762101817453)	(22, 0.00043028581184146556)	(24, 0.0004639200127670788)	(26, 0.0005277090145225521)	(28, 0.0006204930170759679)	(30, 0.0007376328202996552)	(32, 0.000933639025693746)	(34, 0.0012177900335135817)	(36, 0.001626039644748611)	(38, 0.00213519185876048)	(40, 0.002919216680336843)	(42, 0.004052341311520433)	(44, 0.005441781749757834)	(46, 0.0072104767984323215)	(48, 0.009473246660703748)	(50, 0.012485247343594007)	(52, 0.01633694324959268)	(54, 0.021408748789168767)	(56, 0.02775401476379049)	(58, 0.0356128197800648)	(60, 0.04532614504737551)	(62, 0.05760378818525625)	(64, 0.0733817078194646)	(66, 0.09298232835887368)	(68, 0.1171154474230171)	(70, 0.1473537538551753)	(72, 0.18518411129626672)	(74, 0.23371710343189467)	(76, 0.2939350808890934)	(78, 0.36770996091937813)	(80, 0.45753531359137184)	(82, 0.5663431133857625)	(84, 0.7007674164851193)	(86, 0.8652456178115594)	(88, 1.0632269626600062)
SRR5364323_1 - illumina_universal_adapter	(1, 0.0)	(2, 6.561477578260985e-06)	(3, 8.748636771014647e-06)	(4, 4.811750224058056e-05)	(5, 5.905329820434887e-05)	(6, 6.561477578260985e-05)	(7, 8.311204932463914e-05)	(8, 8.52992085173928e-05)	(9, 9.842216367391477e-05)	(10, 0.00012357449439058188)	(12, 0.0001531011434927563)	(14, 0.00018372137219130758)	(16, 0.00021543518048623567)	(18, 0.0002416810907992796)	(20, 0.00026464626232319306)	(22, 0.00030729586658188944)	(24, 0.0003608812668043542)	(26, 0.0004286832017797177)	(28, 0.0005194503082789946)	(30, 0.0006922358845065339)	(32, 0.0009525078284442197)	(34, 0.0013954075649768361)	(36, 0.00201874793491163)	(38, 0.00297453650214498)	(40, 0.004336043099634134)	(42, 0.006295737736341415)	(44, 0.008803315750833488)	(46, 0.011969228682344414)	(48, 0.015805505906434335)	(50, 0.02081081971905109)	(52, 0.02727715587242729)	(54, 0.035421043126645554)	(56, 0.045103596872966015)	(58, 0.0573002901113568)	(60, 0.07240153075772446)	(62, 0.09101534906765449)	(64, 0.11416205480456651)	(66, 0.14243218095050397)	(68, 0.17701226136753573)	(70, 0.21923974390203066)	(72, 0.2712952262691642)	(74, 0.33663660715267985)	(76, 0.4158544195346211)	(78, 0.5105004528622467)	(80, 0.6232025789056501)	(82, 0.7611499899314127)	(84, 0.9303245663317157)	(86, 1.133651633526867)	(88, 1.3718923229159452)
SRR5364323_2 - illumina_universal_adapter	(1, 0.0)	(2, 2.1871591927536617e-06)	(3, 6.561477578260985e-06)	(4, 4.811750224058056e-05)	(5, 5.905329820434887e-05)	(6, 6.998909416811718e-05)	(7, 9.623500448116112e-05)	(8, 0.00010498364125217576)	(9, 0.00011373227802319041)	(10, 0.00014325892712536485)	(12, 0.00016950483743840877)	(14, 0.00020778012331159785)	(16, 0.0002449618295884101)	(18, 0.0002701141603050772)	(20, 0.0002985472298108748)	(22, 0.00034994547084058586)	(24, 0.0004079051894485579)	(26, 0.0004800814428094287)	(28, 0.0005850650840616045)	(30, 0.000768786456252912)	(32, 0.001039994196154366)	(34, 0.001485081091879736)	(36, 0.002118263678181921)	(38, 0.0030795201433971558)	(40, 0.004448681798060948)	(42, 0.006413844332750112)	(44, 0.00894110677997697)	(46, 0.01210483255229514)	(48, 0.015994695176607527)	(50, 0.02106343660581414)	(52, 0.027556018669503385)	(54, 0.035727245413631065)	(56, 0.04541417347833703)	(58, 0.05748619864274086)	(60, 0.07242996382723026)	(62, 0.09088193235689652)	(64, 0.11382741944807519)	(66, 0.1418318057520931)	(68, 0.1762194161601625)	(70, 0.21860765489532485)	(72, 0.27078889891604174)	(74, 0.3362724451470863)	(76, 0.4155230649169189)	(78, 0.51032438654723)	(80, 0.6231249347543073)	(82, 0.7609903273103417)	(84, 0.9300971017756693)	(86, 1.1334733800526575)	(88, 1.371889042177156)
