"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000120",177.767331577416,0.673446430105091,0.173313620696152,3.88570977514662,0.000102031343239113,0.00387332794100376
"ENSMUSG00000000552",3807.05447076822,0.256421050801558,0.081420393405599,3.14934674319474,0.00163635912079316,0.0240319446604573
"ENSMUSG00000000632",3436.73960295708,0.230808248135208,0.0774899920727226,2.97855557810097,0.00289610501163198,0.0354882170548289
"ENSMUSG00000000708",5741.7266685964,0.296336865522374,0.0933745589336922,3.17363604076364,0.00150542334531246,0.0229501327178965
"ENSMUSG00000000732",600.142761083744,0.783037219300796,0.166871674947521,4.69245136747774,2.69950719669356e-06,0.00032176993124225
"ENSMUSG00000000791",117.73078363718,1.33531369059559,0.339549242266922,3.9326068928344,8.40295935468307e-05,0.00342651775599457
"ENSMUSG00000000823",1771.23937047153,0.50277716449221,0.116117993206919,4.32988161960633,1.49189520570614e-05,0.00104458968928469
"ENSMUSG00000000901",49.746470751838,0.975602318580664,0.318181109585796,3.06618554398371,0.00216808728193488,0.0293412072016561
"ENSMUSG00000000957",649.54467278148,0.652668041931427,0.119190622633325,5.47583381571281,4.35456217986426e-08,1.64941138568414e-05
"ENSMUSG00000001138",2124.62058114249,0.437116929315397,0.123213163260942,3.54764797645578,0.000388687341143684,0.00943757226466396
"ENSMUSG00000001151",2332.57626408709,0.368533621841232,0.113409456366776,3.24958459063028,0.00115573699435785,0.0194851998702568
"ENSMUSG00000001507",2172.54524477508,0.245693807203957,0.0775741137328538,3.16721384726438,0.00153907095586465,0.0232566174137527
"ENSMUSG00000001521",1227.85277817395,0.514192095273847,0.106120239360463,4.84537255449706,1.26374312957736e-06,0.000194058573366182
"ENSMUSG00000001751",399.510596291993,0.551827794177074,0.123561009145501,4.46603502183495,7.96825714982709e-06,0.000688347000639583
"ENSMUSG00000001911",10647.4896612141,0.315203807935724,0.0958653600212883,3.28798439671773,0.0010090743191179,0.0178743336147826
"ENSMUSG00000001930",967.679477186605,0.435003779755336,0.124123482728836,3.50460501262005,0.00045728518171277,0.0104343051168597
"ENSMUSG00000002020",1622.2195128238,0.6275740894198,0.121599941566474,5.16097361014545,2.45668813207931e-07,6.24988794198386e-05
"ENSMUSG00000002103",1727.04403240617,0.262971430674034,0.0822034257767322,3.19903250003564,0.00137889623423527,0.0216420684277534
"ENSMUSG00000002289",89.1324365508003,1.06154840046604,0.231365643044178,4.58818511901245,4.47116075384751e-06,0.000435491057424747
"ENSMUSG00000002324",1238.81760188697,0.44633134770899,0.124018422123786,3.59891167832706,0.00031955168487572,0.00814164195621323
"ENSMUSG00000002769",166.251358885082,0.786390940885016,0.187609352178157,4.1916404046758,2.76944711529636e-05,0.00160907604605961
"ENSMUSG00000002803",1273.3372706404,0.291905870004769,0.0972657780019548,3.00111587036195,0.00268992186543633,0.0336635229048181
"ENSMUSG00000002831",467.197865481322,1.56900746650962,0.36308217765924,4.32135632937116,1.55073009641133e-05,0.00107012933171381
"ENSMUSG00000002910",751.382168011091,0.865431267759113,0.172612327060176,5.01372806043806,5.33854233162943e-07,0.000112340066719288
"ENSMUSG00000003411",447.173712105545,0.569173864497846,0.198620867009672,2.86562974508681,0.00416180690368574,0.044869069369591
"ENSMUSG00000003469",21066.9173893564,0.253251349845031,0.0847372403943675,2.9886664784739,0.00280197807249342,0.034508465495412
"ENSMUSG00000003526",1692.04237219652,0.560124286776942,0.12306135332012,4.55158562509783,5.32431207067221e-06,0.000493222278503303
"ENSMUSG00000003527",994.067178154938,0.315045333132027,0.108829113087385,2.89486263550692,0.00379324485376355,0.0425647521608951
"ENSMUSG00000003617",1585.49069371151,0.352967017653555,0.114870482398952,3.07273905604121,0.00212103870173222,0.0289224837368205
